Alternate,Slot,Building,Cost,Rates,Effect
C/SI,2,Silicon Quarry,1 FE,"-1 PWR, +1 SI",
Contract,2,Silicon Quarry,1 FE,"-1 PWR, +1 SI",
Contract,2,Silicon Quarry,1 FE,"-1 PWR, +1 SI",
C/SI,2,Wide Silicon Quarry,3 FE,"-1 PWR, +2 SI",
H2O/FE,2,Wide Silicon Quarry,3 FE,"-1 PWR, +2 SI",
O2/FOOD,2,Carbon Quarry,1 FE,"-1 PWR, +1 C",
C/SI,2,Carbon Quarry,1 FE,"-1 PWR, +1 C",
C/SI,2,Carbon Quarry,1 FE,"-1 PWR, +1 C",
Contract,2,Carbon Quarry,1 FE,"-1 PWR, +1 C",
H2O/FE,2,Wide Carbon Quarry,3 FE,"-1 PWR, +2 C",
Contract,2,Wide Carbon Quarry,3 FE,"-1 PWR, +2 C",
C/SI,2,Elemental Quarry,2 FE,"-1 PWR, +1 SI, +1 C",
GLS/ELX,2,Elemental Quarry,2 FE,"-1 PWR, +1 SI, +1 C",
O2/FOOD,2,Dry Ice Condensor,"1 FE, 1 GLS","+1 C, +1 O2",
H2O/FE,2,Dry Ice Condensor,"1 FE, 1 GLS","+1 C, +1 O2",
C/SI,2,Dry Ice Condensor,"1 FE, 1 GLS","+1 C, +1 O2",
GLS/ELX,2,Domed Dry Ice Condensor,"3 FE, 2 GLS","+2 C, +2 O2",
C/SI,3,Hydroponic Farm,1 FE,"-1 H2O, +2 FOOD",
C/SI,3,Hydroponic Farm,1 FE,"-1 H2O, +2 FOOD",
O2/FOOD,3,Hydroponic Farm,1 FE,"-1 H2O, +2 FOOD",
H2O/FE,3,Greenhouse Farm,"1 FE, 1 GLS",+1 FOOD,
H2O/FE,3,Greenhouse Farm,"1 FE, 1 GLS",+1 FOOD,
Contract,3,Greenhouse Farm,"1 FE, 1 GLS",+1 FOOD,
H2O/FE,3,Underground Farm,1 FE,"-2 PWR, +2 FOOD",
GLS/ELX,3,Underground Farm,1 FE,"-2 PWR, +2 FOOD",
Contract,3,Underground Farm,1 FE,"-2 PWR, +2 FOOD",
H2O/FE,3,Glass Kiln,2 FE,"-1 SI, -1 O2, +2 GLS",
C/SI,3,Glass Kiln,2 FE,"-1 SI, -1 O2, +2 GLS",
Contract,3,Glass Kiln,2 FE,"-1 SI, -1 O2, +2 GLS",
C/SI,3,Glass Factory,"2 FE, 1 C","-2 SI, -1 O2, +3 GLS",
O2/FOOD,3,Glass Factory,"2 FE, 1 C","-2 SI, -1 O2, +3 GLS",
O2/FOOD,3,Electronics Plant,2 FE,"-1 PWR, -1 SI, -1 C, +2 ELX",
H2O/FE,3,Electronics Plant,2 FE,"-1 PWR, -1 SI, -1 C, +2 ELX",
Contract,3,Electronics Plant,2 FE,"-1 PWR, -1 SI, -1 C, +2 ELX",
O2/FOOD,3,Electronics Factory,"2 FE, 1 ELX","-2 PWR, -1 SI, -1 C, +3 ELX",
GLS/ELX,3,Electronics Factory,"2 FE, 1 ELX","-2 PWR, -1 SI, -1 C, +3 ELX",
GLS/ELX,4,Pleasure Dome,"1 GLS, 1 ELX",-1 PWR,Power Bill: $20/$15/$10 if 1/2/3 PD in play
C/SI,4,Pleasure Dome,"1 GLS, 1 ELX",-1 PWR,Power Bill: $20/$15/$10 if 1/2/3 PD in play
GLS/ELX,4,Pleasure Dome,"1 GLS, 1 ELX",-1 PWR,Power Bill: $20/$15/$10 if 1/2/3 PD in play
O2/FOOD,4,Patent Office,"2 GLS, 2 ELX",,"Draw 2 Patents, Play 1, Place other on Deck"
GLS/ELX,4,Patent Office,"2 GLS, 2 ELX",,"Draw 2 Patents, Play 1, Place other on Deck"
C/SI,4,Patent Office,"2 GLS, 2 ELX",,"Draw 2 Patents, Play 1, Place other on Deck"
GLS/ELX,4,Hacker Array,"2 SI, 1 ELX",,Sell: Adjust a different resource price by 3
H2O/FE,4,Hacker Array,"2 SI, 1 ELX",,Sell: Adjust a different resource price by 3
C/SI,4,Hacker Array,"2 SI, 1 ELX",,Sell: Adjust a different resource price by 3
H2O/FE,4,Launch Pad,"2 FE, 2 ELX",-1 O2,Free Action: Fulfill Contract
GLS/ELX,4,Launch Pad,"2 FE, 2 ELX",-1 O2,Free Action: Fulfill Contract
O2/FOOD,4,Launch Pad,"2 FE, 2 ELX",-1 O2,Free Action: Fulfill Contract
O2/FOOD,4,Space Elevator,"5 C, 2 GLS",-2 PWR,-1 Contract Resource Requirements
Contract,4,Space Elevator,"5 C, 2 GLS",-2 PWR,-1 Contract Resource Requirements
Contract,4,Space Elevator,"5 C, 2 GLS",-2 PWR,-1 Contract Resource Requirements
GLS/ELX,4,Optimization Center,"2 FE, 2 GLS",,Free Action: -1 PWR and +1 any positive resource
O2/FOOD,4,Optimization Center,"2 FE, 2 GLS",,Free Action: -1 PWR and +1 any positive resource
Contract,4,Optimization Center,"2 FE, 2 GLS",,Free Action: -1 PWR and +1 any positive resource
